,Unnamed: 0,semester_id,student_id,fail,year,order,semester,beta_total,num_classes,cluster
0,1,0,97d4d28f8412b1651e17042791b5bd84,True,1978,1,1S,0.07226166,5,6
1,2,1,97d4d28f8412b1651e17042791b5bd84,False,1978,2,2S,1.443359424,4,6
2,3,2,97d4d28f8412b1651e17042791b5bd84,True,1979,3,1S,0.919783866,4,6
3,4,3,97d4d28f8412b1651e17042791b5bd84,True,1979,4,2S,0.21352805800000002,4,4
4,5,4,97d4d28f8412b1651e17042791b5bd84,True,1980,5,1S,-0.428131949,3,0
5,6,5,97d4d28f8412b1651e17042791b5bd84,True,1980,6,2S,0.44487293200000005,5,4
6,7,6,97d4d28f8412b1651e17042791b5bd84,True,1980,7,3S,-0.391249613,1,7
7,8,7,97d4d28f8412b1651e17042791b5bd84,True,1981,8,1S,2.070374865,6,2
8,9,8,97d4d28f8412b1651e17042791b5bd84,True,1981,9,2S,0.5717614839999999,4,2
9,10,9,97d4d28f8412b1651e17042791b5bd84,False,1982,10,1S,0.125092784,1,7
10,11,10,97d4d28f8412b1651e17042791b5bd84,False,1982,11,2S,0.930740828,4,3
11,12,11,97d4d28f8412b1651e17042791b5bd84,True,1983,12,1S,0.865828093,7,3
12,13,12,97d4d28f8412b1651e17042791b5bd84,True,1983,13,2S,0.615554105,7,3
13,14,13,97d4d28f8412b1651e17042791b5bd84,True,1984,14,1S,-0.503482491,4,1
14,15,14,97d4d28f8412b1651e17042791b5bd84,True,1984,15,2S,-1.087775926,4,1
15,16,15,97d4d28f8412b1651e17042791b5bd84,False,1984,16,3S,0.041262346,1,1
16,17,16,97d4d28f8412b1651e17042791b5bd84,True,1985,17,1S,1.430833825,4,1
17,18,17,97d4d28f8412b1651e17042791b5bd84,False,1985,18,2S,0.373829769,1,5
18,19,18,97d4d28f8412b1651e17042791b5bd84,True,1986,19,1S,2.331168335,7,5
19,20,19,97d4d28f8412b1651e17042791b5bd84,True,1986,20,2S,0.654340962,4,5
20,21,20,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1979,1,2S,0.07226166,5,6
21,22,21,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1980,2,1S,1.48827273,4,6
22,23,22,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1980,3,2S,1.199584225,4,6
23,24,23,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1981,4,1S,0.242923803,4,4
24,25,24,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1981,5,2S,0.21352805800000002,4,4
25,26,25,51fd90cc2bb5951dd7f7a1c317cf91b8,False,1982,6,1S,-0.84342067,1,0
26,27,26,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1982,7,2S,0.288400169,4,4
27,28,27,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1983,8,1S,-0.813486239,4,2
28,29,28,51fd90cc2bb5951dd7f7a1c317cf91b8,False,1984,9,1S,-0.031379977999999996,1,7
29,30,29,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1984,10,2S,-0.642114414,3,7
30,31,30,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1985,11,1S,-1.496887426,4,3
31,32,31,51fd90cc2bb5951dd7f7a1c317cf91b8,False,1985,12,2S,-1.1704435709999998,2,7
32,33,32,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1986,13,2S,-0.14585794,3,1
33,34,33,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1987,14,1S,-1.030188197,3,1
34,35,34,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1987,15,2S,-0.266156829,2,1
35,36,35,51fd90cc2bb5951dd7f7a1c317cf91b8,False,1988,16,1S,0.125092784,1,1
36,37,36,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1988,17,2S,-0.9663481709999999,5,1
37,38,37,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1989,18,1S,-2.0718150140000002,4,5
38,39,38,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1989,19,2S,-1.210884091,3,5
39,40,39,51fd90cc2bb5951dd7f7a1c317cf91b8,False,1990,20,1S,-1.428082535,2,5
40,41,40,51fd90cc2bb5951dd7f7a1c317cf91b8,True,1990,21,2S,0.11262336199999999,4,5
41,42,41,51fd90cc2bb5951dd7f7a1c317cf91b8,False,1991,22,1S,0.217198444,1,5
42,43,42,57bc077d57776d74e20ba7f2e09412d9,True,1980,1,1S,0.07226166,5,6
43,44,43,57bc077d57776d74e20ba7f2e09412d9,False,1980,2,2S,0.633469314,5,6
44,45,44,57bc077d57776d74e20ba7f2e09412d9,True,1981,3,1S,1.04841883,5,6
45,46,45,57bc077d57776d74e20ba7f2e09412d9,True,1981,4,2S,1.05515296,6,4
46,47,46,57bc077d57776d74e20ba7f2e09412d9,False,1982,5,1S,1.0927392340000002,4,4
47,48,47,57bc077d57776d74e20ba7f2e09412d9,True,1982,6,2S,-1.346695112,5,4
48,49,48,57bc077d57776d74e20ba7f2e09412d9,False,1983,7,1S,-0.583519498,4,4
49,50,49,57bc077d57776d74e20ba7f2e09412d9,True,1983,8,2S,-1.0792483659999998,6,2
50,51,50,57bc077d57776d74e20ba7f2e09412d9,True,1984,9,1S,1.120464535,6,2
51,52,51,57bc077d57776d74e20ba7f2e09412d9,True,1984,10,2S,0.24804403,3,7
52,53,52,57bc077d57776d74e20ba7f2e09412d9,False,1985,11,1S,0.17578129399999998,1,7
53,54,53,57bc077d57776d74e20ba7f2e09412d9,False,1985,12,2S,0.360012678,3,3
