"","student_id","factor1","factor2","factor3","factor4","factor5","gpa"
"1","691c86211b9332626f9fe928166a3ebc",3.575789474,3.0725,6.35,0,4.575,4.74
"2","e8d43918176368313368e5d6590d7b2e",4.648125,4.047777778,6.22,7.75,5.25,8.4
"3","4c8f414a7312185477484c679144f284",5.223333333,6.007142857,6.793333333,7.16,5.723333333,6.33
"4","247ff15b0c0537e2f118bcc27692ced5",6.566,4.996,6.633333333,2.09,8.415,5.63
"5","f7f153c13c2bc64f850f702aa7f48077",2.819444444,0.75,5.093333333,0,3.562,6.2
"6","8094de01171920b3f2c1c051a16b5e0a",4.544615385,2.8,4.993333333,6.83,5.52,6.6
"7","2f6cf6a719f06f45ae5a0530ff1c5fa6",6.591,7.608333333,5.488333333,6.95,9,9.4
"8","79c0f796d96647862cd293f35b51c1fd",5.55,6.907142857,6.666,6.625,5.316666667,6
"9","1816b83496d7880ce1a6483bbfc3af75",4.994117647,6.566666667,6.09,6,4.323333333,6.95
"10","d4de72ee0ba5f74402b5d627f2455ec6",4.437222222,5.592857143,6.603333333,6,4.112,6.3
"11","a257c66ffe687121b03ebd54b4bc727a",5.003333333,2.65,6.115,6,5.5125,6.9
"12","6ca2901760741916d9903104943ce2f3",5.526,7.192,6.4875,6,5.3525,6.69
"13","1022d90cf3878765e84bdf7e07d33311",5.3175,5.1875,6.176666667,7.4,6.32,6.63
"14","fc36320ce925c790e5a646f46f531dac",5.24125,6.016,6.395,6,4.7675,6.33
"15","94672c80f491794d94707003fc23e438",5.628125,5.482857143,5.915,6.2,5.926,6.26
"16","8273ff407aaf1774a23c960ef823cf6e",8.575,7.95,7.825,9.3,8.75,9.6
"17","6503bbfa3bb63d2e2cb9f20f2fe9d875",6.369,6.52,6.4,6.16,4.686666667,6.77
"18","2026a95c0572de2033f65c75a65bf699",5.916666667,5.21,6.6925,7.6,5.285,3.9
"19","5e198826b06b732edc33170504e75348",6.458,6.538333333,6.218,8,6.496666667,6.3
"20","188c55cfe70a9d4acabb114d4f08959f",5.909,5.766666667,7.576666667,6.66,5.462,6.16
"21","2a7d4a15008e321c51d9df7e472c1511",5.02,6.321428571,7.75,7.225,5.013333333,3.16
"22","626cdb47598baec32128554c358a7a66",6.164615385,7.055714286,6.824,7.025,5.51,6.4
"23","44a4ab31f6025c81ba584578feb9687d",6.915,6.72,7.733333333,6.65,5.286666667,7.13
"24","2b765d4e9b67befe2caddf9c2c3f9e7f",6.727272727,7.0975,7.52,7.33,6.573333333,5.36
"25","9824c1fe6e810e9ce4857f220dd791d1",6.027272727,5.33,6.276666667,6,5.443333333,4.16
"26","2086e3a07e4d11b5d48fc24e765695c2",6.4525,6.7,6.35,6,5.516666667,6.8
"27","4a0e877f654ff5e5ca6ef5b1d0df1c48",6.406363636,6.825,6.31,6,5.204,4.8
"28","09254da250e6c387a998d2f2498d9dc7",6.7075,6.516666667,7.076666667,6.5,6.206666667,4.43
"29","6c3da49fb159f9f999215e8e21e299d1",5.53,7.02,6.343333333,6.85,6.2875,7
"30","e494e388277d971443447ba869974d4c",6.78,7.691666667,6.56,6.66,6.033333333,8.5
"31","fe6943229fb200992fd59e50d7498260",5.81,6.16875,7.766666667,3.05,5.536,6.83
"32","9e46dab145caceb1d3841e3be28d34c5",6.97375,6.7,6.283333333,6.33,6.915,8.16
"33","14d0b9c4b3f1a1c34e427833f0776928",6.389,7.75,7.16,6,5.42,7.05
"34","759e27396f4ee253571161cdc2ec9753",5.879166667,5.792857143,5.96,6,6.415,5.26
"35","921bbec0aecda63e084a2004b226dd64",6.675,7.2,8.2,6.2,6,6.4
"36","8ee04a606b2c954b222962acf600b2d6",5.579333333,7.207142857,6.8925,7.15,6.45,4.93
"37","2aa201c4cba8a7de82d1bd2a1e237ef4",5.6925,5.741666667,6.95,6.7,6.165,7.75
"38","9f9401f98ca1ff7939c5555967e72be8",6.835,6.372,6.47,7.33,6.295,8.3
"39","39a287f1e58de111ce5e92d674faa429",5.0245,6.577777778,6.656,6.3,4.585,4.53
"40","7c209198c6122d627d89e9d8d3a2002a",6.61,4.513636364,6.46,6.83,6.376666667,2.5
